"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency","job_category","State"
"32",11,"CT","GARTNER, INC",7,"Management Occupations","Connecticut"
"33",11,"CT","SILVER HARBOR, LLC",7,"Management Occupations","Connecticut"
"34",11,"CT","PITNEY BOWES INC",5,"Management Occupations","Connecticut"
"35",11,"CT","ADPI, LLC",4,"Management Occupations","Connecticut"
"36",11,"DC","RALLY HEALTH, INC",4,"Management Occupations","District of Columbia"
"37",11,"DC","UNITED NATIONS FOUNDATION, INC",4,"Management Occupations","District of Columbia"
"38",11,"DC","WITHYOUWITHME INC",4,"Management Occupations","District of Columbia"
"39",11,"DC","WORLD RESOURCES INSTITUTE",4,"Management Occupations","District of Columbia"
"40",11,"DC","GEORGETOWN UNIVERSITY",3,"Management Occupations","District of Columbia"
"41",11,"DE","ASTRAZENECA PHARMACEUTICALS LP",7,"Management Occupations","Delaware"
"42",11,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC",7,"Management Occupations","Delaware"
"43",11,"DE","PACKFORM USA LLC",6,"Management Occupations","Delaware"
"44",11,"DE","SIEMENS MOBILITY, INC",6,"Management Occupations","Delaware"
"45",11,"DE","MEDLEY NETWORKS INC",3,"Management Occupations","Delaware"
"46",11,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",72,"Management Occupations","Florida"
"47",11,"FL","BURGER KING CORPORATION",19,"Management Occupations","Florida"
"48",11,"FL","CHEWY, INC",19,"Management Occupations","Florida"
"49",11,"FL","SIEMENS ENERGY, INC",17,"Management Occupations","Florida"
"50",11,"FL","PRICEWATERHOUSECOOPERS LLP",16,"Management Occupations","Florida"
"51",11,"GA","MANHATTAN ASSOCIATES, INC",71,"Management Occupations","Georgia"
"52",11,"GA","COX AUTOMOTIVE CORPORATE SERVICES, LLC",16,"Management Occupations","Georgia"
"53",11,"GA","NIIT TECHNOLOGIES LIMITED",16,"Management Occupations","Georgia"
"54",11,"GA","EQUIFAX INC",14,"Management Occupations","Georgia"
"55",11,"GA","NIIT TECHNOLOGIES INC",13,"Management Occupations","Georgia"
"56",11,"HI","AMERICAN SAVINGS BANK, FSB",2,"Management Occupations","Hawaii"
"57",11,"HI","ANSALDO HONOLULU JV",2,"Management Occupations","Hawaii"
"58",11,"HI","CENTER FOR CULTURAL TECHNICAL INTERCHANGE BETWEEN EAST WEST INC",2,"Management Occupations","Hawaii"
"59",11,"HI","KAWAMATA FARMS LLC",2,"Management Occupations","Hawaii"
"60",11,"HI","RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII",2,"Management Occupations","Hawaii"
"61",11,"IA","TRANSAMERICA LIFE INSURANCE COMPANY",7,"Management Occupations","Iowa"
"62",11,"IA","MAHARISHI UNIVERSITY OF MANAGEMENT",3,"Management Occupations","Iowa"
"63",11,"IA","ROCKWELL COLLINS INC",3,"Management Occupations","Iowa"
"64",11,"IA","AUTOMED INC",2,"Management Occupations","Iowa"
"65",11,"IA","DANFOSS POWER SOLUTIONS (US) COMPANY",2,"Management Occupations","Iowa"
"66",11,"ID","MICRON TECHNOLOGY, INC",15,"Management Occupations","Idaho"
"67",11,"ID","MICRON SEMICONDUCTOR PRODUCTS, INC",3,"Management Occupations","Idaho"
"68",11,"ID","ACTIVE STUDENT INC",2,"Management Occupations","Idaho"
"69",11,"ID","BVA DEVELOPMENT, LLC",2,"Management Occupations","Idaho"
"70",11,"ID","THE INTERNET TRUCKSTOP LLC",2,"Management Occupations","Idaho"
"71",11,"IL","ACCENTURE LLP",53,"Management Occupations","Illinois"
"72",11,"IL","JPMORGAN CHASE CO",51,"Management Occupations","Illinois"
"73",11,"IL","TRANSUNION LLC",25,"Management Occupations","Illinois"
"74",11,"IL","CCC INFORMATION SERVICES INC",20,"Management Occupations","Illinois"
"75",11,"IL","ABBOTT LABORATORIES",19,"Management Occupations","Illinois"
"76",11,"IN","ANTHEM, INC",18,"Management Occupations","Indiana"
"77",11,"IN","ZIMMER, INC",11,"Management Occupations","Indiana"
"78",11,"IN","HILL-ROM COMPANY, INC",6,"Management Occupations","Indiana"
"79",11,"IN","PYRAMID TECHNOLOGY SOLUTIONS, INC",6,"Management Occupations","Indiana"
"80",11,"IN","UNIVERSITY OF NOTRE DAME DU LAC",5,"Management Occupations","Indiana"
"81",11,"KS","BLACK VEATCH CORPORATION",12,"Management Occupations","Kansas"
"82",11,"KS","OVERLAND CONTRACTING, INC",5,"Management Occupations","Kansas"
"83",11,"KS","JOHN ZINK COMPANY, LLC",4,"Management Occupations","Kansas"
"84",11,"KS","GARMIN INTERNATIONAL, INC",3,"Management Occupations","Kansas"
"85",11,"KS","GEORGE CLINICAL, INC",3,"Management Occupations","Kansas"
"86",11,"KY","COLUMBIA SUSSEX MANAGEMENT LLC",8,"Management Occupations","Kentucky"
"87",11,"KY","TTI LEXINGTON, LLC",4,"Management Occupations","Kentucky"
"88",11,"KY","BROWN-FORMAN CORPORATION",3,"Management Occupations","Kentucky"
"89",11,"KY","COLUMBIA SUSSEX MANAGEMENT, LLC",3,"Management Occupations","Kentucky"
"90",11,"KY","HUMANA INC",3,"Management Occupations","Kentucky"
"91",11,"LA","ALMATIS BURNSIDE, LLC",4,"Management Occupations","Louisiana"
"92",11,"LA","INTRALOX, LLC",4,"Management Occupations","Louisiana"
"93",11,"LA","KAEFER LLC",4,"Management Occupations","Louisiana"
"94",11,"LA","AMEDISYS HOLDING LLC",3,"Management Occupations","Louisiana"
"95",11,"LA","BLUE VICTORY HOLDINGS",3,"Management Occupations","Louisiana"
"96",11,"MA","VIRTUSA CORPORATION",79,"Management Occupations","Massachusetts"
"97",11,"MA","WAYFAIR LLC",66,"Management Occupations","Massachusetts"
"98",11,"MA","NTT DATA SERVICES, LLC",29,"Management Occupations","Massachusetts"
"99",11,"MA","SCHNEIDER ELECTRIC USA, INC",21,"Management Occupations","Massachusetts"
"100",11,"MA","NTT DATA, INC",17,"Management Occupations","Massachusetts"
"101",11,"MD","EZENIUS INC",8,"Management Occupations","Maryland"
"102",11,"MD","LUPIN PHARMACEUTICALS, INC",8,"Management Occupations","Maryland"
"103",11,"MD","DD&B CONSTRUCTION, INC",7,"Management Occupations","Maryland"
"104",11,"MD","MARRIOTT INTERNATIONAL, INC",7,"Management Occupations","Maryland"
"105",11,"MD","DANFOSS, LLC",5,"Management Occupations","Maryland"
"106",11,"ME","THE JACKSON LABORATORY",3,"Management Occupations","Maine"
"107",11,"ME","FERNWOOD COVE INC",2,"Management Occupations","Maine"
"108",11,"ME","IDEXX LABORATORIES, INC",2,"Management Occupations","Maine"
"109",11,"ME","RITE PROS INC",2,"Management Occupations","Maine"
"110",11,"ME","UNIVERSITY OF MAINE",2,"Management Occupations","Maine"
"111",11,"MI","FCA US LLC",30,"Management Occupations","Michigan"
"112",11,"MI","WHIRLPOOL CORPORATION",24,"Management Occupations","Michigan"
"113",11,"MI","HENRY FORD HEALTH SYSTEM",18,"Management Occupations","Michigan"
"114",11,"MI","ALTIMETRIK CORP",13,"Management Occupations","Michigan"
"115",11,"MI","FORD MOTOR COMPANY",11,"Management Occupations","Michigan"
"116",11,"MN","ECOLAB USA INC",27,"Management Occupations","Minnesota"
"117",11,"MN","MEDTRONIC, INC",25,"Management Occupations","Minnesota"
"118",11,"MN","OPTUM SERVICES, INC",22,"Management Occupations","Minnesota"
"119",11,"MN","MAYO CLINIC",14,"Management Occupations","Minnesota"
"120",11,"MN","ECOLAB INC",12,"Management Occupations","Minnesota"
"121",11,"MO","CHARTER COMMUNICATIONS, INC",10,"Management Occupations","Missouri"
"122",11,"MO","WASHINGTON UNIVERSITY IN ST. LOUIS",8,"Management Occupations","Missouri"
"123",11,"MO","PEABODY INVESTMENTS CORP",6,"Management Occupations","Missouri"
"124",11,"MO","MONSANTO COMPANY",5,"Management Occupations","Missouri"
"125",11,"MO","HNTB CORPORATION",4,"Management Occupations","Missouri"
"126",11,"MS","JINDAL TUBULAR USA, LLC",4,"Management Occupations","Mississippi"
"127",11,"MS","THE UNIVERSITY OF MISSISSIPPI",2,"Management Occupations","Mississippi"
"128",11,"MS","W. G. YATES SONS CONSTRUCTION COMPANY",2,"Management Occupations","Mississippi"
"129",11,"MS","LIGHTHEART, SANDERS AND ASSOCIATES, INC",1,"Management Occupations","Mississippi"
"130",11,"MS","MISSISSIPPI STATE UNIVERSITY",1,"Management Occupations","Mississippi"
"131",11,"MT","BILLINGS SYMPHONY SOCIETY",1,"Management Occupations","Montana"
"132",11,"MT","CMG CONSTRUCTION, LLC",1,"Management Occupations","Montana"
"133",11,"MT","FIRSTMARK CONSTRUCTION",1,"Management Occupations","Montana"
"134",11,"MT","PIONEER MEDICAL CENTER",1,"Management Occupations","Montana"
"135",11,"MT","UNIVERSITY OF MONTANA",1,"Management Occupations","Montana"
"136",11,"NC","IBM CORPORATION",24,"Management Occupations","North Carolina"
"137",11,"NC","BANK OF AMERICA N.A",19,"Management Occupations","North Carolina"
"138",11,"NC","BOFA SECURITIES, INC",16,"Management Occupations","North Carolina"
"139",11,"NC","PPD DEVELOPMENT, L.P",16,"Management Occupations","North Carolina"
"140",11,"NC","COMPASS GROUP USA, INC",11,"Management Occupations","North Carolina"
"141",11,"ND","EONE INTEGRATED BUSINESS SOLUTIONS",2,"Management Occupations","North Dakota"
"142",11,"ND","CLARK EQUIPMENT COMPANY",1,"Management Occupations","North Dakota"
"143",11,"ND","PROFESSIONAL ADVANTAGE SOFTWARE SOLUTIONS, INC",1,"Management Occupations","North Dakota"
"144",11,"ND","SEA FOAM INTERNATIONAL, INC",1,"Management Occupations","North Dakota"
"145",11,"ND","UND AEROSPACE FOUNDATION",1,"Management Occupations","North Dakota"
"146",11,"NE","FIRST DATA TECHNOLOGIES, INC",4,"Management Occupations","Nebraska"
"147",11,"NE","HDR ENGINEERING, INC",3,"Management Occupations","Nebraska"
"148",11,"NE","PROKARMA, INC",3,"Management Occupations","Nebraska"
"149",11,"NE","ALIVATION HEALTH LLC",2,"Management Occupations","Nebraska"
"150",11,"NE","CHYY (USA), LLC, F/K/A HRC LEASING COMPANY, LLC",2,"Management Occupations","Nebraska"
"151",11,"NH","C AND WHOLESALE GROCERS, INC",5,"Management Occupations","New Hampshire"
"152",11,"NH","MICRODESK, INC",3,"Management Occupations","New Hampshire"
"153",11,"NH","N'WARE TECHNOLOGIES INC",2,"Management Occupations","New Hampshire"
"154",11,"NH","ALLEGRO MICROSYSTEMS, LLC",1,"Management Occupations","New Hampshire"
"155",11,"NH","BIZANALYTICA, LLC",1,"Management Occupations","New Hampshire"
"156",11,"NJ","ERNST YOUNG U.S. LLP",78,"Management Occupations","New Jersey"
"157",11,"NJ","GOLDMAN SACHS CO. LLC",44,"Management Occupations","New Jersey"
"158",11,"NJ","TECH MAHINDRA (AMERICAS),INC",42,"Management Occupations","New Jersey"
"159",11,"NJ","POLARIS CONSULTING SERVICES LTD",40,"Management Occupations","New Jersey"
"160",11,"NJ","HONEYWELL INTERNATIONAL INC",37,"Management Occupations","New Jersey"
"161",11,"NM","ANGEL FIRE RESORT OPERATIONS LLC",7,"Management Occupations","New Mexico"
"162",11,"NM","SPERIDIAN TECHNOLOGIES, LLC",2,"Management Occupations","New Mexico"
"163",11,"NM","THE GLOBAL CENTER FOR CULTURAL ENTREPRENEURSHIP",2,"Management Occupations","New Mexico"
"164",11,"NM","ANGEL FIRE RESORT",1,"Management Occupations","New Mexico"
"165",11,"NM","B&D ENTERPRISES",1,"Management Occupations","New Mexico"
"166",11,"NV","ARISTOCRAT TECHNOLOGIES, INC",11,"Management Occupations","Nevada"
"167",11,"NV","BALLY GAMING INC",10,"Management Occupations","Nevada"
"168",11,"NV","ARISTOCRAT TECHNOLOGIES INC",3,"Management Occupations","Nevada"
"169",11,"NV","INTSOURCING, INC",3,"Management Occupations","Nevada"
"170",11,"NV","CAESARS ENTERPRISE SERVICES LLC",2,"Management Occupations","Nevada"
"171",11,"NY","BLOOMBERG, LP",76,"Management Occupations","New York"
"172",11,"NY","WE WORK MANAGEMENT LLC",43,"Management Occupations","New York"
"173",11,"NY","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC",42,"Management Occupations","New York"
"174",11,"NY","MORGAN STANLEY SERVICES GROUP INC",23,"Management Occupations","New York"
"175",11,"NY","CITIBANK, N.A",22,"Management Occupations","New York"
"176",11,"OH","CARDINAL HEALTH, INC",10,"Management Occupations","Ohio"
"177",11,"OH","THE KROGER CO",6,"Management Occupations","Ohio"
"178",11,"OH","CARESOURCE MANAGEMENT GROUP CO",5,"Management Occupations","Ohio"
"179",11,"OH","EATON CORPORATION",5,"Management Occupations","Ohio"
"180",11,"OH","BENDIX COMMERCIAL VEHICLE SYSTEMS LLC",4,"Management Occupations","Ohio"
"181",11,"OK","FAIR DINKUM DIRECT, INC",3,"Management Occupations","Oklahoma"
"182",11,"OK","GOPURAM TASTE OF INDIA",3,"Management Occupations","Oklahoma"
"183",11,"OK","LBC LIMITED PARTNERSHIP",3,"Management Occupations","Oklahoma"
"184",11,"OK","GLOBAL LAW GROUP LLC",2,"Management Occupations","Oklahoma"
"185",11,"OK","OBJECTSTREAM, INC",2,"Management Occupations","Oklahoma"
"186",11,"OR","NIKE, INC",63,"Management Occupations","Oregon"
"187",11,"OR","MENTOR GRAPHICS CORPORATION",8,"Management Occupations","Oregon"
"188",11,"OR","ESCO GROUP LLC",4,"Management Occupations","Oregon"
"189",11,"OR","ADIDAS AMERICA, INC",3,"Management Occupations","Oregon"
"190",11,"OR","NIKE USA, INC",3,"Management Occupations","Oregon"
"191",11,"PA","DELOITTE CONSULTING LLP",198,"Management Occupations","Pennsylvania"
"192",11,"PA","COMCAST CABLE COMMUNICATIONS, LLC",60,"Management Occupations","Pennsylvania"
"193",11,"PA","DELOITTE TOUCHE LLP",42,"Management Occupations","Pennsylvania"
"194",11,"PA","CIGNA HEALTH AND LIFE INSURANCE COMPANY",26,"Management Occupations","Pennsylvania"
"195",11,"PA","SAP AMERICA, INC",21,"Management Occupations","Pennsylvania"
"196",11,"RI","CVS PHARMACY, INC",11,"Management Occupations","Rhode Island"
"197",11,"RI","CAREMARK, LLC",6,"Management Occupations","Rhode Island"
"198",11,"RI","CITIZENS FINANCIAL GROUP, INC",2,"Management Occupations","Rhode Island"
"199",11,"RI","ADVANCED PRINT TECHNOLOGIES LLC",1,"Management Occupations","Rhode Island"
"200",11,"RI","BLOUNT BOATS, INC",1,"Management Occupations","Rhode Island"
"201",11,"SC","DIVERSEY, INC",5,"Management Occupations","South Carolina"
"202",11,"SC","SANCTITYINTERNATIONAL LLC",5,"Management Occupations","South Carolina"
"203",11,"SC","GREYSTAR MANAGEMENT SERVICES, LP",3,"Management Occupations","South Carolina"
"204",11,"SC","HAILE GOLD MINE, INC",3,"Management Occupations","South Carolina"
"205",11,"SC","SCHAEFFLER GROUP USA INC",3,"Management Occupations","South Carolina"
"206",11,"SD","PRINCE MANUFACTURING CORPORATION",1,"Management Occupations","South Dakota"
"207",11,"SD","RAPID CITY AREA SCHOOL DISTRICT 51-4",1,"Management Occupations","South Dakota"
"208",11,"TN","CUMMINS INC",62,"Management Occupations","Tennessee"
"209",11,"TN","UBS BUSINESS SOLUTIONS US LLC",15,"Management Occupations","Tennessee"
"210",11,"TN","UNIQUE KEY RESOURCES,INC",11,"Management Occupations","Tennessee"
"211",11,"TN","FEDEX CORPORATE SERVICES, INC",8,"Management Occupations","Tennessee"
"212",11,"TN","ST. JUDE CHILDREN'S RESEARCH HOSPITAL",6,"Management Occupations","Tennessee"
"213",11,"TX","KPMG LLP",83,"Management Occupations","Texas"
"214",11,"TX","HITACHI CONSULTING CORPORATION",33,"Management Occupations","Texas"
"215",11,"TX","ERICSSON INC",19,"Management Occupations","Texas"
"216",11,"TX","HEWLETT PACKARD ENTERPRISE COMPANY",18,"Management Occupations","Texas"
"217",11,"TX","TEXAS INSTRUMENTS INCORPORATED",18,"Management Occupations","Texas"
"218",11,"UT","GENESYS TELECOMMUNICATIONS LABORATORIES, INC",7,"Management Occupations","Utah"
"219",11,"UT","SNAPRAYS, LLC",7,"Management Occupations","Utah"
"220",11,"UT","OVERSTOCK.COM, INC",6,"Management Occupations","Utah"
"221",11,"UT","UNIVERSITY OF UTAH",6,"Management Occupations","Utah"
"222",11,"UT","INNOVECTURE",5,"Management Occupations","Utah"
"223",11,"VA","APPIAN CORPORATION",16,"Management Occupations","Virginia"
"224",11,"VA","AECOM TECHNICAL SERVICES, INC",9,"Management Occupations","Virginia"
"225",11,"VA","CGI TECHNOLOGIES AND SOLUTIONS INC",9,"Management Occupations","Virginia"
"226",11,"VA","RARE, INC",8,"Management Occupations","Virginia"
"227",11,"VA","FEDERAL HOME LOAN MORTGAGE CO",7,"Management Occupations","Virginia"
"228",11,"VT","WORLD LEARNING",3,"Management Occupations","Vermont"
"229",11,"VT","FLEX-A-SEAL, INC",1,"Management Occupations","Vermont"
"230",11,"VT","KUNAL, LLC",1,"Management Occupations","Vermont"
"231",11,"VT","MARLBORO COLLEGE",1,"Management Occupations","Vermont"
"232",11,"VT","OPEN RANGE SOLUTIONS, INC",1,"Management Occupations","Vermont"
"233",11,"WA","AMAZON.COM SERVICES, INC",1216,"Management Occupations","Washington"
"234",11,"WA","AMAZON WEB SERVICES, INC",144,"Management Occupations","Washington"
"235",11,"WA","EXPEDIA, INC",78,"Management Occupations","Washington"
"236",11,"WA","A2Z DEVELOPMENT CENTER, INC",53,"Management Occupations","Washington"
"237",11,"WA","T-MOBILE USA, INC",33,"Management Occupations","Washington"
"238",11,"WI","GE PRECISION HEALTHCARE LLC",18,"Management Occupations","Wisconsin"
"239",11,"WI","JOHNSON CONTROLS, INC",12,"Management Occupations","Wisconsin"
"240",11,"WI","EPIC SYSTEMS CORPORATION",10,"Management Occupations","Wisconsin"
"241",11,"WI","KOHL'S DEPARTMENT STORES, INC",8,"Management Occupations","Wisconsin"
"242",11,"WI","KOHLER COMPANY",5,"Management Occupations","Wisconsin"
"243",11,"WV","DEEMSYS INC",6,"Management Occupations","West Virginia"
"244",11,"WV","CONSTELLIUM ROLLED PRODUCTS RAVENSWOOD, LLC",3,"Management Occupations","West Virginia"
"245",11,"WV","PLANCK HOLDINGS LLC",3,"Management Occupations","West Virginia"
"246",11,"WV","AMERICA'S BEST BLOCK, INC",2,"Management Occupations","West Virginia"
"247",11,"WV","US METHANOL, LLC",2,"Management Occupations","West Virginia"
"248",11,"WY","CHRISTIANA GILLESPIE, PC",2,"Management Occupations","Wyoming"
"249",11,"WY","AUSTIN ENGINEERING USA SERVICES INC",1,"Management Occupations","Wyoming"
"250",11,"WY","CABIN COMPANY, LLC",1,"Management Occupations","Wyoming"
"251",11,"WY","GRASSHOPPER TRADING INTERNATIONAL LLC",1,"Management Occupations","Wyoming"
"252",13,"AK","MCKINLEY CAPITAL MANAGEMENT, LLC",2,"Business and Financial Operations Occupations","Alaska"
"253",13,"AK","YUKON ACCOUNTING AND CONSULTING",2,"Business and Financial Operations Occupations","Alaska"
"254",13,"AK","YUKON ACCOUNTING CONSULTING, INC",2,"Business and Financial Operations Occupations","Alaska"
"255",13,"AK","AC HOLIDAY INC",1,"Business and Financial Operations Occupations","Alaska"
"256",13,"AK","ARCTIC SLOPE REGIONAL CORPORATION",1,"Business and Financial Operations Occupations","Alaska"
"257",13,"AL","REGIONS BANK",10,"Business and Financial Operations Occupations","Alabama"
"258",13,"AL","COMPASS BANK",4,"Business and Financial Operations Occupations","Alabama"
"259",13,"AL","HYUNDAI POWER TRANSFORMERS USA, INC",3,"Business and Financial Operations Occupations","Alabama"
"260",13,"AL","MANDO AMERICA CORPORATION",3,"Business and Financial Operations Occupations","Alabama"
"261",13,"AL","CARR, RIGGS INGRAM, LLC",2,"Business and Financial Operations Occupations","Alabama"
"262",13,"AR","WAL-MART ASSOCIATES, INC",33,"Business and Financial Operations Occupations","Arkansas"
"263",13,"AR","BANK OZK",8,"Business and Financial Operations Occupations","Arkansas"
"264",13,"AR","SIMMONS PREPARED FOODS, INC",3,"Business and Financial Operations Occupations","Arkansas"
"265",13,"AR","ANDY AND ANDREW HOTEL INVESTMENT LLC",2,"Business and Financial Operations Occupations","Arkansas"
"266",13,"AR","PROTECH SOLUTIONS INC",2,"Business and Financial Operations Occupations","Arkansas"
"267",13,"AZ","WELLS FARGO BANK, N.A",11,"Business and Financial Operations Occupations","Arizona"
"268",13,"AZ","RIDER LEVETT BUCKNALL LTD",9,"Business and Financial Operations Occupations","Arizona"
"269",13,"AZ","THE ALEXANDER GROUP, INC",7,"Business and Financial Operations Occupations","Arizona"
"270",13,"AZ","EQUITY METHODS LLC",6,"Business and Financial Operations Occupations","Arizona"
"271",13,"AZ","MICROCHIP TECHNOLOGY INC",6,"Business and Financial Operations Occupations","Arizona"
"272",13,"CA","GOOGLE LLC",940,"Business and Financial Operations Occupations","California"
"273",13,"CA","UBER TECHNOLOGIES, INC",252,"Business and Financial Operations Occupations","California"
"274",13,"CA","APPLE INC",88,"Business and Financial Operations Occupations","California"
"275",13,"CA","TESLA, INC",72,"Business and Financial Operations Occupations","California"
"276",13,"CA","PAYPAL, INC",68,"Business and Financial Operations Occupations","California"
"277",13,"CO","HP INC",29,"Business and Financial Operations Occupations","Colorado"
"278",13,"CO","ROCKY MOUNTAIN INSTITUTE, INC",11,"Business and Financial Operations Occupations","Colorado"
"279",13,"CO","CHARLES SCHWAB AND COMPANY, INC",8,"Business and Financial Operations Occupations","Colorado"
"280",13,"CO","DISH NETWORK LLC",8,"Business and Financial Operations Occupations","Colorado"
"281",13,"CO","GT INDUSTRIAL PRODUCTS, LLC",5,"Business and Financial Operations Occupations","Colorado"
"282",13,"CT","BRIDGEWATER ASSOCIATES, LP",51,"Business and Financial Operations Occupations","Connecticut"
"283",13,"CT","GARTNER, INC",24,"Business and Financial Operations Occupations","Connecticut"
"284",13,"CT","AQR CAPITAL MANAGEMENT, LLC",22,"Business and Financial Operations Occupations","Connecticut"
"285",13,"CT","POINT72 ASSET MANAGEMENT, L.P",13,"Business and Financial Operations Occupations","Connecticut"
"286",13,"CT","CUBIST SYSTEMATIC STRATEGIES, LLC",12,"Business and Financial Operations Occupations","Connecticut"
"287",13,"DC","THE CARLYLE GROUP EMPLOYEE CO., LLC",7,"Business and Financial Operations Occupations","District of Columbia"
"288",13,"DC","BAIN COMPANY DC, LLC",4,"Business and Financial Operations Occupations","District of Columbia"
"289",13,"DC","INSTITUTE OF INTERNATIONAL FINANCE, INC",4,"Business and Financial Operations Occupations","District of Columbia"
"290",13,"DC","NATIONAL RAILROAD PASSENGER CORPORATION",4,"Business and Financial Operations Occupations","District of Columbia"
"291",13,"DC","TATE &AMP; TRYON, PC",4,"Business and Financial Operations Occupations","District of Columbia"
"292",13,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC",231,"Business and Financial Operations Occupations","Delaware"
"293",13,"DE","THE SIEGFRIED GROUP, LLP",75,"Business and Financial Operations Occupations","Delaware"
"294",13,"DE","BLACKROCK CAPITAL MANAGEMENT, INC",33,"Business and Financial Operations Occupations","Delaware"
"295",13,"DE","BLACKROCK INVESTMENT MANAGEMENT, LLC",24,"Business and Financial Operations Occupations","Delaware"
"296",13,"DE","BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A",23,"Business and Financial Operations Occupations","Delaware"
"297",13,"FL","PRICEWATERHOUSECOOPERS LLP",885,"Business and Financial Operations Occupations","Florida"
"298",13,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",289,"Business and Financial Operations Occupations","Florida"
"299",13,"FL","CHEWY, INC",17,"Business and Financial Operations Occupations","Florida"
"300",13,"FL","SIEMENS CORPORATION",15,"Business and Financial Operations Occupations","Florida"
"301",13,"FL","RAYMOND JAMES ASSOCIATES, INC",13,"Business and Financial Operations Occupations","Florida"
"302",13,"GA","NIIT TECHNOLOGIES LIMITED",49,"Business and Financial Operations Occupations","Georgia"
"303",13,"GA","HOME DEPOT PRODUCT AUTHORITY, LLC",20,"Business and Financial Operations Occupations","Georgia"
"304",13,"GA","S2 IT GROUP LLC",16,"Business and Financial Operations Occupations","Georgia"
"305",13,"GA","PROCUREMENT ADVISORS LLC",14,"Business and Financial Operations Occupations","Georgia"
"306",13,"GA","PYRAMID CONSULTING, INC",10,"Business and Financial Operations Occupations","Georgia"
"307",13,"HI","ALAKA'I VENDING CORPORATION",2,"Business and Financial Operations Occupations","Hawaii"
"308",13,"HI","HAWAIIAN AIRLINES INC",2,"Business and Financial Operations Occupations","Hawaii"
"309",13,"HI","KKDLY LLC",2,"Business and Financial Operations Occupations","Hawaii"
"310",13,"HI","NAN, INC",2,"Business and Financial Operations Occupations","Hawaii"
"311",13,"HI","UNIVERSITY OF HAWAII",2,"Business and Financial Operations Occupations","Hawaii"
"312",13,"IA","TRANSAMERICA LIFE INSURANCE COMPANY",17,"Business and Financial Operations Occupations","Iowa"
"313",13,"IA","FEDERAL HOME LOAN BANK OF DES MOINES",13,"Business and Financial Operations Occupations","Iowa"
"314",13,"IA","AMERICAN TECHNOLOGY CONSULTING, LLC",7,"Business and Financial Operations Occupations","Iowa"
